Date,Price
1/13/2003,16.138462
1/20/2003,15.633546
1/27/2003,14.884017
2/3/2003,14.608037
2/10/2003,15.147446
2/17/2003,15.448518
2/24/2003,14.913001
3/3/2003,14.824897
3/10/2003,15.642911
3/17/2003,16.718922
3/24/2003,15.523349
3/31/2003,15.787636
4/7/2003,15.22761
4/14/2003,16.045628
4/21/2003,15.869445
4/28/2003,16.423174
5/5/2003,16.586773
5/12/2003,16.089674
5/19/2003,15.240204
5/26/2003,15.485607
6/2/2003,14.894116
6/9/2003,15.510768
6/16/2003,16.567904
6/23/2003,16.12743
6/30/2003,16.674873
7/7/2003,17.184555
7/14/2003,16.920273
7/21/2003,16.920273
7/28/2003,16.467218
8/4/2003,16.09597
8/11/2003,16.070799
8/18/2003,16.49869
8/25/2003,16.68746
9/1/2003,17.857841
9/8/2003,17.832674
9/15/2003,18.852039
9/22/2003,17.738291
9/29/2003,18.298317
10/6/2003,18.191336
10/13/2003,18.203924
10/20/2003,16.838018
10/27/2003,16.540621
11/3/2003,16.515312
11/10/2003,16.135643
11/17/2003,15.888864
11/24/2003,16.268526
12/1/2003,16.439379
12/8/2003,16.863333
12/15/2003,17.312595
12/22/2003,17.217684
12/29/2003,17.369555
1/5/2004,17.502434
1/12/2004,17.597349
1/19/2004,18.021305
1/26/2004,17.496103
2/2/2004,17.135426
2/9/2004,16.825361
2/16/2004,16.812717
2/23/2004,16.787403
3/1/2004,16.673498
3/8/2004,16.059717
3/15/2004,15.585143
3/22/2004,15.838242
3/29/2004,16.357121
4/5/2004,16.12299
4/12/2004,15.920508
4/19/2004,17.4265
4/26/2004,16.534294
5/3/2004,16.312826
5/10/2004,16.363449
5/17/2004,16.382429
5/24/2004,16.597572
5/31/2004,16.420395
6/7/2004,16.939262
6/14/2004,17.939039
6/21/2004,18.078243
6/28/2004,18.078243
7/5/2004,17.628988
7/12/2004,17.388538
7/19/2004,17.736551
7/26/2004,18.027628
8/2/2004,17.173389
8/9/2004,17.097464
8/16/2004,17.211359
8/23/2004,17.375875
8/30/2004,17.205009
9/6/2004,17.446171
9/13/2004,17.458868
9/20/2004,17.31925
9/27/2004,17.928501
10/4/2004,17.763496
10/11/2004,17.763496
10/18/2004,17.604832
10/25/2004,17.750803
11/1/2004,18.601213
11/8/2004,19.020075
11/15/2004,17.046349
11/22/2004,18.814953
11/29/2004,19.260563
12/6/2004,19.154461
12/13/2004,19.069588
12/20/2004,19.10495
12/27/2004,18.899826
1/3/2005,18.864462
1/10/2005,18.475435
1/17/2005,18.142986
1/24/2005,18.517868
1/31/2005,18.616898
2/7/2005,18.369324
2/14/2005,18.022738
2/21/2005,17.915159
2/28/2005,17.858398
3/7/2005,17.801632
3/14/2005,17.248215
3/21/2005,17.226927
3/28/2005,17.113409
4/4/2005,17.695211
4/11/2005,17.354641
4/18/2005,17.723593
4/25/2005,17.950628
5/2/2005,17.893873
5/9/2005,17.950628
5/16/2005,18.262819
5/23/2005,18.555622
